SDL version, SDL name, Category (SDL file), Module, OCaml name, raw signature, API sig
3.2.0, SDL_DestroyRWLock, Mutex, RWLock, destroy, rw_lock @-> returning void, rw_lock -> unit
3.2.0, SDL_DestroyRenderer, Render, Renderer, destroy, renderer @-> returning void, renderer -> unit
3.2.0, SDL_DestroySemaphore, Mutex, Semaphore, destroy, semaphore @-> returning void, semaphore -> unit
3.2.0, SDL_DestroySurface, Surface, Surface, destroy, surface @-> returning void, surface -> unit
3.2.0, SDL_DestroyTexture, Render, Texture, destroy, texture @-> returning void, texture -> unit
3.2.0, SDL_DestroyTray, Tray, Tray, destroy, tray @-> returning void, tray -> unit
3.2.0, SDL_DestroyWindow, Video, Window, destroy, window @-> returning void, window -> unit
3.2.0, SDL_DestroyWindowSurface, Video, Window, destroy_surface, window @-> returning true_to_ok, window -> unit result
3.2.0, SDL_DetachThread, Thread, Thread, detach, thread @-> returning void, thread -> unit
3.2.0, SDL_DetachVirtualJoystick, Joystick, Joystick, detach_virtual, joystick_id @-> returning true_to_ok, int -> unit result
3.2.0, SDL_DisableScreenSaver, Video, , disable_screen_saver, void @-> returning true_to_ok, unit -> unit result
3.2.0, SDL_DispatchGPUCompute, Gpu, GPU, dispatch_compute, gpu_compute_pass @-> uint32 @-> uint32 @-> uint32 @-> returning void, gpu_compute_pass -> int -> int -> int -> unit
3.2.0, SDL_DispatchGPUComputeIndirect, Gpu, GPU, dispatch_compute_indirect, gpu_compute_pass @-> gpu_buffer @-> uint32 @-> returning void, gpu_compute_pass -> gpu_buffer -> int -> unit
3.2.0, SDL_DownloadFromGPUBuffer, Gpu, GPU, download_from_buffer, gpu_copy_pass @-> ptr gpu_buffer_region @-> ptr gpu_transfer_buffer_location @-> returning void, gpu_copy_pass -> ptr gpu_buffer_region -> ptr gpu_transfer_buffer_location -> unit
3.2.0, SDL_DownloadFromGPUTexture, Gpu, GPU, download_from_texture, gpu_copy_pass @-> ptr gpu_texture_region @-> ptr gpu_texture_transfer_info @-> returning void, gpu_copy_pass -> ptr gpu_texture_region -> ptr gpu_texture_transfer_info -> unit
3.2.0, SDL_DrawGPUIndexedPrimitives, Gpu, GPU, draw_indexed_primitives, gpu_render_pass @-> uint32 @-> uint32 @-> uint32 @-> sint32 @-> uint32 @-> returning void, gpu_render_pass -> int -> int -> int -> sint32 (* int *) -> int -> unit
3.2.0, SDL_DrawGPUIndexedPrimitivesIndirect, Gpu, GPU, draw_indexed_primitives_indirect, gpu_render_pass @-> gpu_buffer @-> uint32 @-> uint32 @-> returning void, gpu_render_pass -> gpu_buffer -> int -> int -> unit
3.2.0, SDL_DrawGPUPrimitives, Gpu, GPU, draw_primitives, gpu_render_pass @-> uint32 @-> uint32 @-> uint32 @-> uint32 @-> returning void, gpu_render_pass -> int -> int -> int -> int -> unit
3.2.0, SDL_DrawGPUPrimitivesIndirect, Gpu, GPU, draw_primitives_indirect, gpu_render_pass @-> gpu_buffer @-> uint32 @-> uint32 @-> returning void, gpu_render_pass -> gpu_buffer -> int -> int -> unit
3.2.0, SDL_DuplicateSurface, Surface, Surface, duplicate, surface @-> returning (some_to_ok surface_opt), surface -> (surface option) result
3.2.0, SDL_EGL_GetCurrentConfig, Video, , egl_get_current_config, void @-> returning egl_config, unit -> egl_config
3.2.0, SDL_EGL_GetCurrentDisplay, Video, , egl_get_current_display, void @-> returning egl_display, unit -> egl_display
3.2.0, SDL_EGL_GetProcAddress, Video, , egl_get_proc_address, string @-> returning function_pointer, string -> function_pointer
3.2.0, SDL_EGL_GetWindowSurface, Video, Window, egl_get_surface, window @-> returning egl_surface, window -> egl_surface
